REPORTED_DATE,CRIME_COUNT
2018-10-04,210
2018-10-05,218
2018-10-06,150
2018-10-07,150
2018-10-08,160
2018-10-09,155
2018-10-10,158
2018-10-11,184
2018-10-12,158
2018-10-13,159
2018-10-14,127
2018-10-15,169
2018-10-16,181
2018-10-17,199
2018-10-18,184
2018-10-19,173
2018-10-20,116
2018-10-21,143
2018-10-22,219
2018-10-23,222
2018-10-24,197
2018-10-25,183
2018-10-26,191
2018-10-27,153
2018-10-28,153
2018-10-29,170
2018-10-30,186
2018-10-31,156
2018-11-01,186
2018-11-02,167
2018-11-03,136
2018-11-04,153
2018-11-05,212
2018-11-06,166
2018-11-07,187
2018-11-08,137
2018-11-09,155
2018-11-10,135
2018-11-11,94
2018-11-12,135
2018-11-13,147
2018-11-14,176
2018-11-15,163
2018-11-16,171
2018-11-17,155
2018-11-18,140
2018-11-19,175
2018-11-20,175
2018-11-21,166
2018-11-22,83
2018-11-23,145
2018-11-24,132
2018-11-25,135
2018-11-26,197
2018-11-27,182
2018-11-28,193
2018-11-29,186
2018-11-30,165
2018-12-01,112
2018-12-02,130
2018-12-03,162
2018-12-04,178
2018-12-05,180
2018-12-06,172
2018-12-07,189
2018-12-08,142
2018-12-09,136
2018-12-10,147
2018-12-11,167
2018-12-12,194
2018-12-13,162
2018-12-14,190
2018-12-15,163
2018-12-16,141
2018-12-17,187
2018-12-18,174
2018-12-19,184
2018-12-20,162
2018-12-21,150
2018-12-22,136
2018-12-23,128
2018-12-24,120
2018-12-25,62
2018-12-26,114
2018-12-27,161
2018-12-28,150
2018-12-29,124
2018-12-30,138
2018-12-31,132
2019-01-01,131
2019-01-02,164
2019-01-03,166
2019-01-04,159
2019-01-05,133
2019-01-06,124
2019-01-07,182
2019-01-08,183
2019-01-09,189
2019-01-10,161
2019-01-11,159
2019-01-12,135
2019-01-13,113
2019-01-14,176
2019-01-15,166
2019-01-16,147
2019-01-17,205
2019-01-18,150
2019-01-19,135
2019-01-20,147
2019-01-21,190
2019-01-22,205
2019-01-23,162
2019-01-24,142
2019-01-25,136
2019-01-26,182
2019-01-27,114
2019-01-28,135
2019-01-29,184
2019-01-30,165
2019-01-31,202
2019-02-01,141
2019-02-02,140
2019-02-03,152
2019-02-04,204
2019-02-05,184
2019-02-06,134
2019-02-07,108
2019-02-08,144
2019-02-09,110
2019-02-10,153
2019-02-11,169
2019-02-12,169
2019-02-13,180
2019-02-14,198
2019-02-15,167
2019-02-16,121
2019-02-17,136
2019-02-18,139
2019-02-19,192
2019-02-20,174
2019-02-21,182
2019-02-22,140
2019-02-23,112
2019-02-24,116
2019-02-25,163
2019-02-26,190
2019-02-27,171
2019-02-28,181
